382.5,0.000102
385,9.5e-05
387.5,9.1e-05
390,8.7e-05
392.5,8.4e-05
395,8.1e-05
397.5,8e-05
400,7e-05
402.5,6.5e-05
405,6e-05
407.5,5.9e-05
410,5.6e-05
412.5,5.4e-05
415,5.2e-05
417.5,5.1e-05
420,5.4e-05
422.5,5.7e-05
425,6.1e-05
427.5,6e-05
430,6.4e-05
432.5,6.3e-05
435,6.9e-05
437.5,7e-05
440,8.3e-05
442.5,8.6e-05
445,9.5e-05
447.5,9.8e-05
450,0.00011
452.5,0.000116
455,0.00012
457.5,0.000118
460,0.000122
462.5,0.000123
465,0.000125
467.5,0.000124
470,0.00013
472.5,0.000135
475,0.000143
477.5,0.000149
480,0.000157
482.5,0.00016
485,0.000168
487.5,0.000172
490,0.000185
492.5,0.000193
495,0.000213
497.5,0.000228
500,0.000242
502.5,0.000272
505,0.0003
507.5,0.000331
510,0.000382
512.5,0.000435
515,0.000462
517.5,0.000466
520,0.000474
522.5,0.000485
525,0.000485
527.5,0.000499
530,0.000505
532.5,0.000521
535,0.000527
537.5,0.000542
540,0.000551
542.5,0.000568
545,0.000594
547.5,0.000623
550,0.000654
552.5,0.000686
555,0.00069
557.5,0.000701
560,0.000715
562.5,0.00074
565,0.000743
567.5,0.000776
570,0.000804
572.5,0.000846
575,0.00089
577.5,0.000962
580,0.001016
582.5,0.001112
585,0.001235
587.5,0.001387
590,0.001487
592.5,0.001652
595,0.001818
597.5,0.002087
600,0.002417
602.5,0.002671
605,0.002795
607.5,0.002842
610,0.002876
612.5,0.002883
615,0.002916
617.5,0.002915
620,0.003047
622.5,0.003082
625,0.003135
627.5,0.003182
630,0.003184
632.5,0.003281
635,0.003309
637.5,0.003341
640,0.003382
642.5,0.003482
645,0.003513
647.5,0.003577
650,0.003594
652.5,0.003801
655,0.003852
657.5,0.004053
660,0.004212
662.5,0.004303
665,0.004311
667.5,0.004364
670,0.004346
672.5,0.004432
675,0.00439
677.5,0.004503
680,0.004524
682.5,0.00464
685,0.00469
687.5,0.00483
690,0.004929
692.5,0.00515
695,0.005305
697.5,0.005574
700,0.005839
702.5,0.006206
705,0.006533
707.5,0.006973
710,0.007561
712.5,0.008244
715,0.009029
717.5,0.009913
720,0.0010745
722.5,0.0011735
725,0.0012788
727.5,0.001429
730,0.0016069
732.5,0.0018259
735,0.0019624
737.5,0.0020379
740,0.0021456
742.5,0.0022231
745,0.0021423
747.5,0.0021642
750,0.002195
